id,streetName,buildingNumber,city,zipcode,country,countyCode,latitude,longitude
936,Reichert Via,44272,Mayfort,50698,Guatemala,GS,-26.667132,153.178836
937,Ryan Greens,478,Port Jalonview,80699-5587,United Arab Emirates,JM,-1.843132,117.505634
938,Maynard Drive,26925,Lednerberg,69147-0436,El Salvador,BB,43.336843,102.645487
939,Haley Harbor,459,South Andrew,72278,Suriname,RW,-60.857294,-151.186005
940,Kobe Flats,17284,South Hollie,79983,Togo,FI,8.464448,-176.552934
941,Hodkiewicz Meadow,21843,Port Georgianaberg,91033,Guinea-Bissau,KE,-58.637041,-161.628381
942,Sauer Road,83601,Karaberg,25842,Philippines,ME,66.876130,-178.874878
943,Stark Cape,8191,Uptonburgh,15833,Antigua and Barbuda,SG,-56.242447,158.164395
944,Prince Keys,66971,Gottliebland,58623,Isle of Man,SN,48.311246,-35.393390
945,Camren Cliff,1714,Port Gay,02165,Saint Helena,SS,-43.817543,-81.492370
946,Gene Common,4952,Omarishire,70506-9799,Uganda,KG,0.725917,-25.508632
947,Treutel Run,271,Rhodastad,35865,Egypt,ML,41.416798,-61.857625
948,Alyson Loop,880,Reeceville,03981-2943,Honduras,CV,5.303263,-50.263180
949,Hertha Corners,44861,North Veronica,97713,Malta,CZ,-48.049345,-24.452333
950,Stephania Branch,95757,Paucekstad,46448-1598,Mali,GS,43.353129,111.684413
951,Bins Gardens,693,South Jazmyn,72685,Oman,PK,52.520354,171.695945
952,Ephraim Dam,7060,Lake Haskell,82118-8919,Sri Lanka,SD,-67.903007,-75.929190
953,Kuphal Grove,652,Monicatown,84304,Bangladesh,GN,87.348004,81.512641
954,Veronica Field,897,Isaiasburgh,14687-1206,Zimbabwe,KN,73.688062,17.183808
955,Aiyana Lodge,606,Cristianbury,05947-2875,Christmas Island,SH,18.642143,150.747675
956,Vita Circle,293,Schulistmouth,82490-5152,Ethiopia,SL,52.473732,157.122129
957,Blick Mountain,38849,West Geovannytown,57459,Zimbabwe,PT,-51.265000,-104.217823
958,Pollich Expressway,8077,Lednerport,03850-4616,Central African Republic,PS,-68.998588,-24.416497
959,Barrows Crossroad,12450,Chaimfort,58803,Brunei Darussalam,TR,-70.829195,-143.253230
960,Price Burgs,47914,Piercefort,41331,Mongolia,RE,-22.785037,148.954615
961,Maymie Drives,63291,Ernserport,48345,Guam,EE,44.090708,92.170521
962,Ayla Meadows,7812,New Claudiatown,02419-8388,Puerto Rico,QA,59.696768,-15.452063
963,Keara Meadows,8588,Port Sarina,77082,Timor-Leste,PK,35.868177,45.336296
964,Christ Expressway,36910,Bereniceside,26302,Bermuda,TZ,-40.273857,156.653968
965,Glenna Trail,470,Jasonstad,27511,Spain,BZ,-42.738851,131.156332
966,Abernathy Cove,90198,South Ladariusland,31765,Taiwan,SY,-50.760795,106.464719
967,Marks Station,933,Feeneyview,65059,Bouvet Island (Bouvetoya),KN,-49.244429,-164.450880
968,Ulises Turnpike,506,West Jaunitaland,11450,Cyprus,IE,17.590016,70.348321
969,Cordie Brook,22533,New Shadview,42857,Armenia,TZ,17.349898,80.843390
970,Juana Junction,738,Gregorioville,60161,Faroe Islands,UY,19.222670,177.723048
971,Littel Lock,40633,Dachfurt,77756,Madagascar,TW,-56.073815,23.031475
972,Francis Drive,55436,New Blair,15505-0112,Turkey,VC,56.577216,123.259545
973,Effertz Meadows,4849,Katarinachester,12365-8468,El Salvador,SR,10.070117,-139.634347
974,Christiansen Stravenue,6800,East Luciennefort,28915,Taiwan,SJ,67.610472,-65.266313
975,Mara Corner,639,Goldnermouth,63661-3890,Christmas Island,MZ,42.925021,-113.475565
976,Armstrong Club,834,Mattietown,45114,Guatemala,TR,59.308106,13.460784
977,Demetrius Cliffs,70449,South Dustyborough,11562-2231,French Polynesia,MF,4.035545,-78.380659
978,Meagan Expressway,83384,West Wilfordport,49007,Cuba,SJ,-7.517950,147.385568
979,Friesen Oval,52329,Stehrbury,91212-2677,Trinidad and Tobago,LC,17.183863,-125.765853
980,Janae Dale,8375,Kilbackburgh,73828-3528,Antarctica (the territory South of 60 deg S),SS,42.179627,-141.011163
981,Nathan Mission,4648,North Keelyview,58710-1261,Denmark,CY,-35.565664,-174.258309
982,Murphy Mount,2461,Balistreristad,26386-2219,Niger,CA,77.455788,102.361559
983,Kessler Club,2242,West Cordeliamouth,21879-0905,Peru,DJ,68.194651,-131.171219
984,Kertzmann Canyon,61374,Port Emanuel,25004-8894,Pakistan,DZ,39.377028,-53.854786
985,Wiza Square,443,South Jay,69902-6774,Albania,BW,45.876136,-125.609477
986,Boyer Tunnel,89579,Baumbachhaven,52297-8961,Western Sahara,LI,-20.985369,6.716367
987,Clotilde Heights,1337,North Tatumshire,40479,Angola,CG,-70.682207,36.117733
988,Bode Knoll,180,Ornton,96422,Niger,MH,-33.667503,-20.303399
989,Stroman Loop,65644,North Daisybury,66644,Sierra Leone,BZ,12.879403,-150.999540
990,Ziemann Mills,233,Blickton,64238-7655,Greece,GT,34.313316,9.802852
991,Beau Cape,13727,Lake Josechester,29807,Togo,TK,42.368573,-125.817290
992,Bechtelar Village,90043,East Alvertaport,69762-4731,Guatemala,KM,87.959401,-161.953449
993,Aubrey Summit,691,South Dorcas,91147,Luxembourg,LY,76.911517,102.859024
994,Macejkovic Light,685,North Carlee,13605,Honduras,LA,-84.652579,-6.498666
995,Cora Run,36108,South Hazle,97726,Indonesia,TN,-61.120558,-65.470368
996,Lolita Estates,1241,North Michaela,44250-1696,Comoros,SM,-38.413747,131.763296
997,Keebler Station,37121,Pagacmouth,46652,Uganda,LC,-45.860000,-75.109010
998,Keebler Field,86490,Loniemouth,94289-9704,Norfolk Island,EH,17.087043,-141.063501
999,Aufderhar Place,1638,Donnellyburgh,36777,Cameroon,YE,13.997113,-159.729925
1000,Marvin Overpass,1471,North Savanahland,77175-5608,Equatorial Guinea,RW,-32.142434,89.841666
1001,Dee Squares,24873,Lake Mattberg,72181,Cote d'Ivoire,GH,22.986876,146.578001
1002,Walker Cove,7695,Dickinsontown,46240,Liberia,UG,57.419583,137.289468
1003,Harley Manors,781,Lake Audraberg,59109,Uganda,AZ,54.343535,-26.333623
1004,Schumm Streets,7656,Port Maximillian,14061-0507,Vietnam,UZ,-36.174291,96.122674
1005,Hoeger Neck,8467,South Zulaborough,12353,Saint Lucia,VC,-51.170147,-163.742742
1006,Schmitt View,6595,Blandaland,07754,Tonga,AD,-83.913737,75.307444
1007,Kutch Ford,601,North Sydnie,40078-8168,Equatorial Guinea,CU,5.894389,158.040576
1008,Precious Stream,345,Shermanmouth,85927,Panama,NP,80.289194,46.719570
1009,Leone Shoals,6997,Port Alainaton,89310,Sao Tome and Principe,LY,-77.930743,121.207048
1010,Misty Ford,752,North Cristianbury,92794-8914,Japan,PK,50.644096,47.499580
1011,Powlowski Lake,4167,Ziemeville,45095,San Marino,NA,-23.060002,-65.061650
1012,Rolfson Drives,8231,Joannieville,94550,Uganda,GQ,31.942055,173.468508
1013,Florida Lakes,587,Lakinland,59163,Senegal,AG,-39.932599,30.112363
1014,Clovis Prairie,31577,North Dejahaven,94285,Mongolia,MA,58.354661,150.263591
1015,Raynor Branch,35884,West Eloyside,73416,Bosnia and Herzegovina,AZ,37.633268,17.074734
1016,Maggio Hill,699,West Ulisesville,17775,Cayman Islands,HK,2.364782,-80.497936
1017,Cecelia Mountain,821,Scottieview,20880-3356,Saint Pierre and Miquelon,BR,84.991678,-106.144476
1018,Eusebio Cliff,8933,Lake Kimberlyborough,18763,Costa Rica,KN,44.103982,-22.437539
1019,Haylie Inlet,7001,Sanfordfurt,55805-7014,Dominica,TV,14.576859,-135.473318
1020,Ibrahim Avenue,17727,Champlinport,45593-0904,Mali,NU,76.400848,-61.325929
1021,Tremblay Point,29273,South Bellbury,71288-0726,Faroe Islands,TM,82.333399,-86.603627
1022,Nyasia Plaza,43677,Port Coltenbury,97933,Fiji,KY,-6.690071,-121.063988
1023,Gisselle Passage,83209,East Reinhold,49819-1850,Tajikistan,TO,-86.077350,-55.262899
1024,Lang Vista,351,Port Kristyland,37175-0199,Guyana,ZA,-18.088082,-83.627072
1025,Patrick Mountains,413,Lake George,01993,Namibia,QA,21.564389,155.762068
1026,Hansen Gardens,494,New Coralie,06156-4098,Christmas Island,ZM,33.816835,174.886426
1027,Wehner Plaza,163,Destinburgh,81058,Vanuatu,TO,-38.936022,-100.586509
1028,Otha Coves,369,New Mable,58291,Tunisia,KI,-24.534743,86.600316
1029,King Village,61182,Autumnmouth,23841-8913,Malta,GT,-22.818593,-61.638952
1030,Bergstrom Knoll,56541,Faheyfort,46436,Norway,CM,-60.401345,-112.414761
1031,Ulices Common,78246,New Finn,07092,El Salvador,IO,43.157800,60.892739
1032,Ullrich Glen,10506,New Dedricbury,31018-5872,Eritrea,FO,34.991950,-123.669148
1033,Prince Alley,18616,East Malindahaven,96338,Barbados,LV,30.206872,13.717478
1034,Shanahan Unions,86903,New Eusebio,80313,Russian Federation,NF,38.272585,6.038655
1035,Schowalter Crossing,99681,Thompsontown,69320,Syrian Arab Republic,TN,-51.827080,-30.336113
1036,Conroy Drive,79146,South Arely,98686,Dominican Republic,MG,83.302627,45.012172
1037,Reanna Junctions,26020,East Cali,77109,Guinea,VE,43.066784,-115.562077
1038,Velda Drive,2152,Davischester,60129,Ghana,LB,72.665334,3.642416
1039,Craig Harbors,553,Yasmeenborough,72073,Tajikistan,SK,-53.991058,176.224410
1040,Maia Drives,6760,Port Bart,05552-2941,El Salvador,MO,59.985500,157.765849
1041,Emard Vista,992,Vivienshire,06326,Italy,CM,20.465024,-35.469236
1042,Parker Street,701,Wildermanmouth,70146,Ethiopia,QA,80.239743,-53.553921
1043,Garrick Lodge,909,Lake Brooke,63261-6296,Rwanda,PF,66.429565,-25.992826
1044,Nolan Cliff,68737,Port Moisesberg,87440-5354,Cape Verde,NP,-51.757215,81.782464
1045,Hansen Path,645,Revafort,51031,Somalia,GS,-33.114579,-42.773440
1046,Runolfsdottir Rapid,9779,East Lowellmouth,86394,Jersey,AO,-7.513803,-47.885806
1047,Izaiah Oval,1134,South Eldon,19127-2370,Senegal,KW,76.026778,-76.081552
1048,Koby Keys,203,South Winstonside,85817-0517,Tanzania,CD,23.888216,-146.502194
1049,Thiel Glen,959,North Geovannyfort,70517,Spain,NL,-17.679197,-31.656620
1050,Dibbert Roads,493,West Drake,57173-4330,Iceland,TK,26.644373,-56.498275
1051,Feest Prairie,4318,Brekkeside,54032-5108,Vanuatu,GN,13.952679,-137.507743
1052,Hollis Junction,717,East Max,06770,Italy,AQ,61.963912,-103.496037
1053,Janessa Passage,84826,New Zachariah,09023,Nicaragua,MU,8.962066,-29.075414
1054,Murazik Point,4773,South Tremaineborough,12641-0690,Singapore,IL,12.770506,170.794557
1055,Daphne Manor,99289,Lake Waldoshire,84936,Uruguay,SO,-30.381691,-36.510110
1056,Spencer Squares,709,East Sabrynashire,46265-0049,Bouvet Island (Bouvetoya),NA,-5.978407,-54.020895
1057,Hudson Inlet,1973,Raulmouth,54760-9407,Costa Rica,GQ,84.657803,-163.862487
1058,Dach Plain,560,Cydneytown,42839,El Salvador,BL,67.815330,-165.425360
1059,Dayne Knoll,420,Jannieborough,21915,Singapore,GN,-72.381213,-38.412940
1060,Brennon Forge,7378,Goodwinport,21978-8068,Mali,CH,22.122127,-106.795244
1061,Buckridge Drive,1955,West Soledadside,81078-6669,Latvia,HK,74.288421,-168.919323
1062,Edd Port,944,Yundtton,65945,Mayotte,KN,29.479695,72.933237
1063,Eva Green,220,Lake Collin,93336-6246,Comoros,DJ,-74.707753,120.486238
1064,Langworth Park,318,Gradybury,26721-1034,Hong Kong,FK,-50.847479,132.313588
1065,Marques Station,85547,McGlynnstad,48625-7947,Ukraine,AE,-6.825148,166.979296
1066,Hershel Path,8468,West Sethfort,07361,Northern Mariana Islands,EH,-38.579615,137.762406
1067,Cruickshank Lock,48875,Port Gudrun,82274,Saint Kitts and Nevis,GD,-49.060586,-74.967481
1068,Sallie Vista,170,Abbottmouth,64269-1212,Vanuatu,LI,-5.730886,48.748952
1069,Rutherford Point,31097,Willborough,40949,Malta,VC,3.588882,10.362040
1070,Icie Light,914,Cummeratashire,79141,Belgium,SX,-85.939139,-122.837594
1071,Welch Locks,716,West Hendersonchester,78239,Turkmenistan,AZ,9.059216,-149.534214
1072,Gust Harbors,70747,North Alfonsofurt,95947-8882,Luxembourg,SX,42.638401,62.866347
1073,Geovany Lodge,902,Lake Garnet,27419,Poland,CN,-0.976571,168.834470
1074,Lemke Key,590,Hayesland,00547-2475,India,NZ,-56.926426,-39.894258
1075,Jarrod Courts,486,New Pascale,93798-1438,Tonga,GS,2.437608,36.619963
1076,Sipes Curve,12124,Murrayport,88934-8033,Antarctica (the territory South of 60 deg S),PA,-47.509696,48.717976
1077,Reichel Cove,45955,East Unaport,07049-9090,Eritrea,SC,-12.737852,-38.521463
1078,Carroll Squares,75139,Raymundohaven,00743,Yemen,GT,36.521380,164.083905
1079,Walker Mission,189,Lake Orion,32868,Canada,AG,13.165302,122.677534
1080,Langworth Springs,1699,Greenfelderville,57456,Somalia,KM,-28.839116,-71.197620
1081,Velda Flats,31056,Ortizland,55680-5620,Iceland,HN,76.730305,-139.312936
1082,Oscar Field,398,Adrianatown,29957-5243,Macao,MK,-78.314166,148.266748
1083,Clifton Underpass,52279,Connellymouth,77331-5916,Timor-Leste,SN,-46.368041,122.303879
1084,Swift Cliffs,366,Ashleighburgh,57303-5550,Mozambique,MY,-88.269486,-33.105403
1085,Von Lodge,211,Forrestmouth,29223-0321,Haiti,GE,-52.422290,124.570977
1086,Nathanial Mount,196,East Alexandriafurt,05666-2584,Slovakia (Slovak Republic),PH,42.234428,131.149205
1087,Jonas Mountains,485,South Winifred,43378,Niger,SY,-37.820558,37.535568
1088,Deon Mews,915,East Jamirburgh,95027-3930,Mongolia,NF,-76.263182,-22.295892
1089,Beer Stream,498,Isaiahbury,40082,United States Virgin Islands,PW,58.566672,32.927377
1090,Ona Flat,268,Hellerview,05435,Saint Martin,DM,-37.136311,113.622107
1091,Yolanda Brook,810,Koelpinburgh,83712,Heard Island and McDonald Islands,YT,-30.456651,-65.904387
1092,Sauer Loop,932,West Katelynn,88629,Saint Helena,FR,-22.081930,26.747712
1093,Rolfson Knoll,9813,Hoppeton,47425,Guinea-Bissau,GH,47.393950,29.726283
1094,Schowalter Terrace,9678,North Sandrineport,05192,Congo,BH,45.901851,89.288269
1095,Herzog Ranch,237,North Kenyatta,19528,Slovakia (Slovak Republic),SY,7.013989,111.694415
1096,Demetris Club,5556,East Archibaldland,34976-7475,Singapore,IR,-46.095299,-135.780112
1097,Aron Plaza,778,New Sandy,96073,Central African Republic,TC,52.611664,124.527460
1098,Anahi Villages,7936,Derekchester,72740-8136,Eritrea,CD,63.075769,100.243221
1099,Gerlach Mount,712,Dibbertside,75437,Vanuatu,MX,50.057159,-165.562450
1100,Dahlia Tunnel,36627,New Orieside,11820,Burkina Faso,FJ,-34.261676,0.885804
1101,Reinger Summit,568,East Jessehaven,85381-4673,Grenada,TF,75.383573,-140.341368
1102,Raheem Falls,174,Hayesborough,79204-4530,Saint Helena,ST,30.171274,-101.087225
1103,Jacquelyn Trace,94321,Noemyville,44018,Benin,GE,44.071705,-81.036624
1104,Sandra Land,6606,Port Amanda,72772,Belize,GW,-29.817971,112.602437
1105,Dietrich Corners,457,Satterfieldburgh,41112,Malawi,VN,-29.260387,83.986510
1106,Rogahn Tunnel,4514,Haleyside,18994,Guinea,GD,-28.335111,-129.075918
1107,Price Stream,65259,Bartellton,55297,India,VN,47.987831,-23.670206
1108,Reina Inlet,50140,Port Shawnland,28279,Cocos (Keeling) Islands,AF,33.697111,79.001823
1109,Josie Lane,11804,Madalynborough,70921-8493,Guadeloupe,LB,66.934481,123.919323
1110,Lupe Valley,66419,Port Zackside,57789,Poland,ID,-55.904290,-50.488050
1111,Donnelly Squares,39234,Lake Santosside,55554-8008,Netherlands Antilles,FJ,8.372706,-96.005222
1112,Wisozk Mill,47485,Wymanville,93807,Australia,SI,-1.647488,-54.305260
1113,Alexanne Points,4937,Bergetown,85516,China,AT,-84.213740,22.878615
1114,Ashley Track,4339,Hintzberg,43515,Switzerland,SO,36.175529,-26.149262
1115,Langosh Ports,986,Laurianneton,27441-5535,Kuwait,NO,62.063919,60.471071
1116,Wuckert Hollow,65274,South Nichole,09965-6460,Guyana,BZ,32.189386,-164.000520
1117,Karlee Forges,78104,West Christopberg,87180-9690,Sri Lanka,MO,-21.261593,102.379951
1118,Murazik Curve,4890,West Brandi,71071-8661,Saint Barthelemy,AF,-4.681521,-52.348537
1119,Beatty Turnpike,175,South Raoulchester,25444,Timor-Leste,EC,-32.352992,-51.278836
1120,Zita Green,259,Port Victoria,23514,Vanuatu,MV,88.539051,66.198329
1121,Ledner Center,3968,Lueilwitzmouth,31390-2858,Austria,NG,37.150239,-65.464558
1122,Aisha Crossing,52387,Robertston,56556,Seychelles,MO,-25.530472,129.592189
1123,Camilla Lodge,7288,East Icie,61599-2085,Rwanda,VG,-6.762331,-39.489144
1124,Schowalter Summit,31796,Stiedemannmouth,62829,Moldova,CM,68.103296,153.442465
1125,Hettinger Fields,818,Gerlachview,46895-4182,Namibia,AU,-82.310754,-42.534397
1126,Theresa Fall,595,Lake Uriel,68922,Gambia,SM,-6.987493,-36.860259
1127,Lebsack Grove,6669,West Jordy,38766-4055,Senegal,SB,89.925863,-108.913110
1128,Kuhic Keys,468,Port Dillanborough,53222-2991,Armenia,PL,-33.843654,74.122813
1129,Sigurd Inlet,78417,Lake Briana,69583,United Arab Emirates,NR,27.190020,-87.982147
1130,Dortha Drives,2551,East Selmerview,40668-6057,Sudan,BD,43.903818,88.580871
1131,Catharine Street,417,Danielahaven,92912,Tuvalu,MH,-4.841299,94.628131
1132,Rutherford Turnpike,526,Port Osvaldoview,26981-3404,Albania,SY,-1.066459,0.721121
1133,Lue Island,404,Port Katheryn,55985-4066,Belize,ME,-71.207228,118.170811
1134,Torphy Lake,7489,Monahanview,75943,Morocco,IT,-16.503122,82.671689
1135,Gilbert Light,2087,Lake Nayeli,08094-8623,Liechtenstein,IE,19.502802,-86.515349
1136,Emilio Mount,3824,Hayeston,39965-4061,Spain,UY,68.635060,66.620927
1137,Dooley Estates,2509,North Era,42769,Isle of Man,MP,2.120931,-60.937170
1138,Cartwright Spur,5256,Whiteshire,68647-7909,Argentina,AU,38.348044,-173.264144
1139,Stoltenberg Extensions,251,Port Adrienne,97903-0505,Somalia,PS,79.489246,150.988716
1140,Aubree Plains,121,Gulgowskiberg,54540,Panama,PR,-1.292172,160.630401
1141,Berniece Dam,951,West Thomas,51868-3431,Gabon,GY,18.503432,-170.492415
1142,Hirthe Plaza,539,North Allene,57173-1688,Croatia,UY,-54.649441,74.549836
1143,Mayert Inlet,16226,Hudsonview,79619,Denmark,NO,-67.820235,-55.581646
1144,Morar Views,560,North Lethafort,21712-1005,Serbia,MS,20.706658,54.115683
1145,Janis Light,37127,Eldonborough,29317,Vanuatu,MV,73.588899,79.090539
1146,Reichert Canyon,1949,West Hillaryfort,78262,Lao People's Democratic Republic,PR,48.867340,-139.392458
1147,Eveline Isle,763,Pfannerstillside,95837-7280,Greenland,KN,23.456458,-175.630193
1148,Maximilian Mountains,41920,Emilianoport,22426,Uruguay,RW,-80.583637,170.912408
1149,Alex Loaf,266,Schaeferfort,44794-1410,Martinique,GH,44.212638,-20.458860
1150,Moen Trafficway,2233,North Marjorychester,88347,Ethiopia,TR,-23.529042,-85.069763
1151,Streich Pines,9195,South Hannahtown,05687-2153,Macao,LT,-31.393713,163.083091
1152,Gutkowski Expressway,5886,East Haleighland,78779,Niue,BM,-76.110185,78.654382
1153,Pacocha Mall,7587,Fredybury,68909,Tokelau,MW,71.037669,-108.883953
1154,Purdy Summit,76329,Port Jody,97433,Iceland,GS,-42.545612,-71.211371
1155,Vergie Port,72226,East Elvismouth,69282-7073,Rwanda,NP,29.161953,28.308012
1156,Bergnaum Path,4587,New Jeffry,76305,Puerto Rico,KR,-75.785036,-106.884588
1157,Hubert Greens,188,West Adrienne,76897,Central African Republic,AD,59.575537,-75.744140
1158,Loma Port,82876,Pfefferborough,08421,Mauritania,EG,73.364888,87.031937
1159,Eudora Brook,47515,East Tito,29134,Denmark,SD,-84.814051,122.873612
1160,Madison Circles,349,Port Dale,11085,Bahamas,MW,25.949752,123.672622
1161,Erling Prairie,723,Garthhaven,16442-0160,Mexico,LY,88.772521,-11.201654
1162,Carolina Village,93230,Delphaview,20745,Bangladesh,YT,9.278822,-83.716767
1163,Nellie Unions,1207,Kariview,20210-1258,Belize,TC,-55.678626,154.590548
1164,Ritchie Dale,36760,West Francisside,20330,American Samoa,BN,13.370783,-107.847805
1165,Haag Ports,4206,Oceanebury,88171,Costa Rica,TW,-10.577605,59.714152
1166,Drew Fort,81060,Port Annabelleview,17731-3237,Iran,MA,-16.728878,45.251218
1167,Legros Mountain,700,New Coty,89966,Bolivia,PE,-29.655273,98.935909
1168,Carlotta Fork,99043,South Orlandoton,53432,Greenland,BG,-34.218034,119.664686
1169,Bechtelar Glen,3327,New Emile,68813,Kuwait,ZM,-54.062582,2.280201
1170,Schulist Islands,664,Lake Queenie,27313-5644,Mongolia,LI,23.051127,-121.416997
1171,Haylee Shoal,48699,Willberg,24096,Martinique,SO,-12.143744,-23.305955
1172,Cullen Hills,7810,Medabury,80258,Switzerland,MH,-29.635967,-75.405460
1173,Margarita Spurs,798,Schimmelview,65828,British Indian Ocean Territory (Chagos Archipelago),TW,-0.835039,-155.216093
1174,Sincere Shores,77782,South Elmo,63810-7179,Guernsey,AD,-2.226334,23.064030
1175,Wilton Canyon,214,South Katharinaberg,29771-5947,Vanuatu,CZ,-64.749398,59.551270
1176,Abraham Road,95626,Millschester,57944,Germany,WF,8.375057,-125.311206
1177,Schaden Pines,44164,West Deionland,56548-2813,Western Sahara,KP,-52.983199,92.784276
1178,Derrick Common,4671,South Boris,61758,Niger,KI,-63.779307,-38.350684
1179,Swaniawski Fall,936,New Brycen,51328-2509,Kenya,HT,-23.308592,66.621392
1180,Willard Run,21189,West Trentonburgh,36639,Holy See (Vatican City State),SE,46.357764,164.199530
1181,Arjun Divide,47945,East Tiachester,53480,Bouvet Island (Bouvetoya),PS,55.386028,133.875589
1182,Elinor Loop,375,South Brockport,35552-0917,Nauru,HU,1.471844,124.111459
1183,Daniel Ridge,2652,Morarmouth,38367,Colombia,UA,26.453732,-24.352504
1184,Kub Station,7085,Medhurststad,86714,Monaco,LI,19.519452,-54.279352
1185,Carmelo Canyon,7033,South Mikelshire,83367-0023,Pitcairn Islands,RE,-28.857923,40.423674
1186,Hand Street,208,Jastland,90055,Western Sahara,BR,-14.669767,18.300198
1187,Gaylord Brook,266,West Elvie,88856-5697,Namibia,GW,9.236733,-122.181193
1188,Hazle Trace,746,Lake Joshport,20260-8801,Congo,AM,-8.738789,-128.168675
1189,Miracle Extensions,1885,East Jules,68403,American Samoa,UM,20.394619,130.692799
1190,Bosco Squares,7415,Stantonstad,20740-5796,Angola,PK,-18.180503,41.612110
1191,Pollich Falls,17064,Lucioview,20880-7441,Cocos (Keeling) Islands,GU,-66.159930,158.800769
1192,Billie Field,528,Jorgeland,06948,Croatia,EH,-4.347725,177.922202
1193,Breitenberg Lane,996,South Olintown,81523,Guinea-Bissau,TR,20.947122,-163.918536
1194,Hauck Views,20347,East Dayneside,73869,China,OM,-2.113997,56.170823
1195,Greenfelder Track,8181,Alaynashire,69278-4888,Bahamas,DK,14.058471,-141.920681
1196,Trever Via,8212,Lehnerborough,82816-9063,Tokelau,IR,-6.145984,161.230880
1197,Greenholt Mountains,706,East Katlyn,93906,Korea,PL,-19.661947,9.701513
1198,Lexie Extension,86948,Daytonberg,96721,Luxembourg,EG,-41.767770,152.781723
1199,Bergnaum Extensions,54726,South Catalinatown,41484-9643,Sweden,CI,-41.669892,115.239980
1200,Nicolas Forges,504,Port Monte,69778,Guadeloupe,BW,58.633316,-19.816279
1201,Veum Plaza,13644,Sydneyview,49432-2639,Mexico,BI,-60.297575,111.024180
1202,Ankunding Green,75166,Port Delaney,46918-9781,Yemen,AM,4.386513,138.504500
1203,Halie Landing,774,Curtshire,05650-2238,Tuvalu,VC,-79.138156,-39.969088
1204,Murray Cliffs,637,West Davionbury,59794,Samoa,IT,-72.688428,31.278179
1205,Fisher Skyway,17625,South Eino,28786,Iran,AD,-46.033166,-145.634661
1206,Brooklyn Highway,1424,South Royal,20968-8626,Turkmenistan,MD,59.760792,163.379350
1207,Miller Land,33376,Elsemouth,52433,Singapore,CA,-22.236428,88.804442
1208,Candace Ports,74516,Lake Davidhaven,96802,Sweden,FK,-16.339219,103.469051
1209,Schuster Prairie,604,Maryseshire,61981-4391,Antarctica (the territory South of 60 deg S),IO,66.726911,-100.733387
1210,Tevin Row,426,New Brendaside,17020,France,AL,35.847782,174.876236
1211,Denesik Rapid,9777,Israelchester,93212-2755,Palau,MS,24.789114,-55.862607
1212,Bayer Spurs,728,South Antonettehaven,12984,Micronesia,FO,53.184597,49.063466
1213,Alek Court,17621,West Aglae,63287,Finland,NG,2.103031,-81.215359
1214,Dare Manors,780,New Alexandrebury,96137-3811,Austria,UM,84.075295,-25.203731
1215,Dorcas Cliff,97086,South Heidi,71017,Norway,BA,-24.097605,75.563056
1216,Fay Junctions,8657,O'Harafort,63247,Bangladesh,GF,-39.304790,100.533937
1217,Alexandrea Ports,81888,New Kobyton,84436,Korea,TK,58.214782,-107.645669
1218,Werner Villages,833,West Stantonhaven,51111,Finland,IL,-73.402800,-114.468151
1219,Wilfredo Station,20404,West Bernicefort,75311-9221,Timor-Leste,BT,77.923128,127.634089
1220,Leatha Turnpike,6969,West Sidneychester,01797-4659,Peru,MS,68.731368,-154.644383
1221,Jerod Turnpike,87315,Aurelieberg,96487,Ghana,JE,-13.300837,-82.791665
1222,Botsford Ridge,8774,Port Orphastad,29591-5554,Djibouti,RO,28.086104,-15.570883
1223,Buford Creek,4767,New Romanmouth,58958-5408,Uzbekistan,GM,16.170394,92.510000
1224,Buford Mountains,929,South Abdullahport,05559-7700,New Zealand,UA,62.631941,173.187312
1225,Kristy Causeway,663,Lake Jeremy,11651,Nicaragua,UM,-6.073808,-165.029292
1226,Frami Land,170,Kevenberg,94252-7645,Dominica,EG,23.220041,1.263662
1227,Heidi Avenue,30338,West Erynstad,54336,Qatar,SI,-11.552302,18.802414
1228,Edison Walk,9412,Lake Janaebury,69570,Finland,EC,25.275528,107.764778
1229,Casper Passage,1467,South Rebekah,69410-6134,Zambia,GA,-27.176241,103.181671
1230,Blick Trail,50881,Fredamouth,74626,United States of America,AQ,-5.744563,126.539045
1231,Wiegand Knolls,651,Elveraside,50264-7547,Saint Barthelemy,HN,-5.687446,59.646148
1232,Zemlak Radial,1581,Alysafurt,89911-0126,Taiwan,SI,89.136289,-50.709244
1233,Javier Track,4764,Port Maudieton,85010-0877,Mozambique,SG,43.220183,-124.096587
1234,Trantow Fords,160,Ryanborough,92936-2730,Malawi,BA,-68.536425,-118.633601
1235,Wisoky Locks,6945,Kristianberg,45767,Swaziland,MR,-83.911300,-148.830559
1236,Sunny Union,275,New Devintown,56422-2213,Macedonia,AL,-31.798532,45.609312
1237,Cormier Villages,20761,East Bretthaven,72130-4612,Indonesia,PH,-2.373039,-103.212626
1238,Shanahan Forks,9542,New Abdul,07642,Qatar,IL,-51.622554,105.946053
1239,Isadore Place,6768,Allieshire,36584,Fiji,JP,12.729097,-173.519249
1240,Schaefer Ramp,6748,Naomichester,45942,Senegal,FJ,-21.995143,22.236840
1241,Armstrong Vista,4895,New Lonieborough,48585-4552,Bermuda,SM,-62.392883,-175.968196
